你是一位精通博弈论（Game Theory）与动态赔率逻辑的足彩战略顾问。你不仅擅长拆解机构的心理陷阱，更能识别出哪些变化是由于"资金对冲需求"，哪些是由于"真实战力倾斜"。

## 核心分析框架

### 第一步：战力离散度评估（The Power Gap）
- 比较双方"主场进攻/客场防守"的真实效率差
- 预警信号：如果一方近3场进球数 > 2且另一方进球数 < 0.5，此时任何"升水"都必须首选怀疑为"阻盘（阻碍资金流入）"而非"诱多"

### 第二步：初始定位与赔付压力（Initial Positioning）
- 初始盘口是否完全贴合战力？（深开、浅开、还是平开？）
- 初始回报是否处于机构的"舒适防御区"？

### 第三步：动态博弈假设（Game Theory Hypothesis）
针对盘口与水位的波动，必须进行"双向验证"：
- **假设1（诱多策略）**：机构利用题材制造高回报，吸引散户接盘
- **假设2（阻碍策略）**：机构通过拉高赔率，增加博取难度，利用散户"恐高"心理降低赔付压力

### 第四步：交叉逻辑检验（Cross-Verification）
- **量价背离检查**：如果水位持续拉升但盘口坚挺不动（如半球维持到临场），判断这是否为机构在"高位派发"还是在"关门谢客"
- **欧亚同步性**：欧赔的主胜拉升是否伴随着平赔的剧烈下调？（若是，则是真实防平；若否，则是诱导资金去下盘）

### 第五步：确定性结论
- **博弈结论**：谁是真正的利益既得方？
- **实战建议**：给出首选选项及对应的风险对冲方案
- **陷阱揭露**：明确指出当前盘面最容易让普通玩家产生的"视觉错觉"

## 分析要求

1. **宏观结构分析**：判断初始定位是否足以支撑市场需求平衡
2. **建立博弈假设**：针对数据的变动（如升盘、降水等），假设机构的意图
3. **证据推导**：观察后期数据变化，验证假设是否成立
4. **给出最终倾向**：明确给出谁是"更好的选择"，并指出市场陷阱所在

请严格按以上框架进行分析。

============================================================

## 待分析比赛
**对阵双方**: 西汉姆联 VS 诺丁汉森林
**比赛时间**: 2026-01-07 04:00
**联赛**: 英超 第21轮
**场地**: 伦敦奥林匹克体育场
**天气**: 多云&nbsp;～3℃ 2℃

## 联赛定位
客队 诺丁汉森林: 第17名 18分
主队 西汉姆联: 第18名 14分

## 基本面信息
### 主队 (西汉姆联)
- 联赛排名: 18 | 积分: 14
- 总战绩: 3胜 5平 12负 (进21失41)
- 主场战绩: 2胜 1平 7负 (进12失23)
- 近10场评分: [6.28, 6.5, 6.53, 6.11, 6.28, 6.78, 6.81, 6.12, 6.85, 6.73]

### 客队 (诺丁汉森林)
- 联赛排名: 17 | 积分: 18
- 总战绩: 5胜 3平 12负 (进19失33)
- 客场战绩: 2胜 2平 6负 (进7失16)
- 近10场评分: [6.19, 6.48, 6.46, 6.17, 7.34, 6.66, 6.22, 6.76, 6.5, 7.14]

## 历史交锋 (近5场)
95-08-25 | 英超 | 诺丁汉森林 1 - 1 西汉姆联 | 平
  0.85 | 受让平手/半球 | 1.0 | 1-6 19:05
  0.88 | 受让平手/半球 | 0.98 | 1-6 19:05
  0.85 | 受让平手/半球 | 1.0 | 1-6 21:43
  0.88 | 受让平手/半球 | 0.98 | 1-6 23:00
  0.83 | 受让平手/半球 | 1.03 | 1-6 23:26
  0.88 | 受让平手/半球 | 0.98 | 1-6 23:27
  0.83 | 受让平手/半球 | 1.03 | 1-6 23:44
  0.88 | 受让平手/半球 | 0.98 | 1-6 23:44
  0.83 | 受让平手/半球 | 1.03 | 1-6 23:47
  0.88 | 受让平手/半球 | 0.98 | 1-6 23:47
  0.8 | 受让平手/半球 | 1.05 | 1-7 00:20
  0.78 | 受让平手/半球 | 1.1 | 1-7 02:18
  0.8 | 受让平手/半球 | 1.05 | 1-7 02:18
  0.78 | 受让平手/半球 | 1.1 | 1-7 02:19
  1.1 | 平手 | 0.78 | 1-7 02:19
  1.05 | 平手 | 0.8 | 1-7 02:24
  1.1 | 平手 | 0.78 | 1-7 02:48
  0.78 | 受让平手/半球 | 1.1 | 1-7 02:58
  1.1 | 平手 | 0.78 | 1-7 03:06
  0.78 | 受让平手/半球 | 1.1 | 1-7 03:09
  0.8 | 受让平手/半球 | 1.05 | 1-7 03:09
  0.78 | 受让平手/半球 | 1.1 | 1-7 03:10
  0.8 | 受让平手/半球 | 1.05 | 1-7 03:10
  0.78 | 受让平手/半球 | 1.1 | 1-7 03:11
  0.8 | 受让平手/半球 | 1.05 | 1-7 03:11
  0.78 | 受让平手/半球 | 1.1 | 1-7 03:12
  0.8 | 受让平手/半球 | 1.05 | 1-7 03:12
  1.1 | 平手 | 0.78 | 1-7 03:30
  0.78 | 受让平手/半球 | 1.1 | 1-7 03:44
  0.8 | 受让平手/半球 | 1.05 | 1-7 03:45
  0.82 | 受让平手/半球 | 1.02 | 1-7 03:49
  0.8 | 受让平手/半球 | 1.05 | 1-7 03:55
**易胜博 亚盘变化** (共70条记录)
  0.93 | 受让平手/半球 | 1.0 | 1-6 12:05
  0.89 | 受让平手/半球 | 0.98 | 1-6 12:20
  0.92 | 受让平手/半球 | 1.01 | 1-6 12:51
  0.89 | 受让平手/半球 | 0.98 | 1-6 14:01
  0.92 | 受让平手/半球 | 1.01 | 1-6 14:02
  0.93 | 受让平手/半球 | 1.0 | 1-6 14:08
  0.86 | 受让平手/半球 | 1.0 | 1-6 15:08
  0.92 | 受让平手/半球 | 1.01 | 1-6 17:07
  0.9 | 受让平手/半球 | 1.03 | 1-6 17:08
  0.89 | 受让平手/半球 | 0.98 | 1-6 17:51
  0.86 | 受让平手/半球 | 1.0 | 1-6 17:52
  0.91 | 受让平手/半球 | 1.02 | 1-6 17:55
  0.9 | 受让平手/半球 | 1.03 | 1-6 17:56
  0.86 | 受让平手/半球 | 1.0 | 1-6 18:02
  0.89 | 受让平手/半球 | 0.98 | 1-6 18:23
  0.9 | 受让平手/半球 | 1.03 | 1-6 18:31
  0.86 | 受让平手/半球 | 1.0 | 1-6 18:38
  0.91 | 受让平手/半球 | 1.02 | 1-6 19:05
  0.89 | 受让平手/半球 | 0.98 | 1-6 19:08
  0.92 | 受让平手/半球 | 1.01 | 1-6 19:11
  0.91 | 受让平手/半球 | 1.02 | 1-6 19:17
  0.86 | 受让平手/半球 | 1.0 | 1-6 19:28
  0.9 | 受让平手/半球 | 1.03 | 1-6 19:44
  0.86 | 受让平手/半球 | 1.0 | 1-6 20:04
  0.91 | 受让平手/半球 | 1.02 | 1-6 20:09
  0.89 | 受让平手/半球 | 0.98 | 1-6 20:13
  0.91 | 受让平手/半球 | 1.02 | 1-6 20:15
  0.92 | 受让平手/半球 | 1.01 | 1-6 20:23
  0.91 | 受让平手/半球 | 1.02 | 1-6 20:59
  0.89 | 受让平手/半球 | 0.98 | 1-6 21:29
  0.9 | 受让平手/半球 | 1.03 | 1-6 21:45
  0.86 | 受让平手/半球 | 1.0 | 1-6 21:54
  0.89 | 受让平手/半球 | 0.98 | 1-6 22:00
  0.86 | 受让平手/半球 | 1.0 | 1-6 22:06
  0.88 | 受让平手/半球 | 1.05 | 1-6 23:03
  0.84 | 受让平手/半球 | 1.03 | 1-6 23:10
  0.88 | 受让平手/半球 | 1.05 | 1-6 23:18
  0.86 | 受让平手/半球 | 1.07 | 1-7 00:04
  0.85 | 受让平手/半球 | 1.08 | 1-7 00:14
  0.81 | 受让平手/半球 | 1.05 | 1-7 00:18
  0.84 | 受让平手/半球 | 1.09 | 1-7 00:19
  0.85 | 受让平手/半球 | 1.08 | 1-7 00:41
  0.84 | 受让平手/半球 | 1.09 | 1-7 01:11
  0.85 | 受让平手/半球 | 1.08 | 1-7 01:16
  0.84 | 受让平手/半球 | 1.09 | 1-7 01:18
  0.83 | 受让平手/半球 | 1.1 | 1-7 01:49
  0.82 | 受让平手/半球 | 1.12 | 1-7 02:16
  0.8 | 受让平手/半球 | 1.14 | 1-7 02:19
  0.78 | 受让平手/半球 | 1.17 | 1-7 02:23
  1.11 | 平手 | 0.83 | 1-7 02:37
  1.13 | 平手 | 0.81 | 1-7 02:48
  1.1 | 平手 | 0.79 | 1-7 02:57
  0.79 | 受让平手/半球 | 1.15 | 1-7 02:58
  0.8 | 受让平手/半球 | 1.14 | 1-7 02:58
  0.77 | 受让平手/半球 | 1.12 | 1-7 02:59
  0.81 | 受让平手/半球 | 1.13 | 1-7 03:09
  0.8 | 受让平手/半球 | 1.14 | 1-7 03:10
  0.77 | 受让平手/半球 | 1.12 | 1-7 03:11
  0.79 | 受让平手/半球 | 1.07 | 1-7 03:13
  0.8 | 受让平手/半球 | 1.14 | 1-7 03:22
  0.79 | 受让平手/半球 | 1.15 | 1-7 03:31
  0.78 | 受让平手/半球 | 1.16 | 1-7 03:40
  0.8 | 受让平手/半球 | 1.14 | 1-7 03:44
  0.79 | 受让平手/半球 | 1.07 | 1-7 03:45
  0.81 | 受让平手/半球 | 1.13 | 1-7 03:47
  0.82 | 受让平手/半球 | 1.11 | 1-7 03:49
  0.82 | 受让平手/半球 | 1.05 | 1-7 03:50
  0.83 | 受让平手/半球 | 1.1 | 1-7 03:51
  0.82 | 受让平手/半球 | 1.11 | 1-7 03:54
  0.8 | 受让平手/半球 | 1.14 | 1-7 03:59
**澳门 亚盘变化** (共3条记录)
  0.81 | 受让平手/半球 | 1.03 | 1-3 17:14
  0.84 | 受让平手/半球 | 1.0 | 1-5 12:08
  0.76 | 受让平手/半球 | 1.08 | 1-7 02:36

### 庄家对比分析
- 主胜分歧: 最高 易胜博@0.93, 最低 澳门@0.81
- 客胜分歧: 最高 澳门@1.03, 最低 Bet365@1.0

## 欧赔数据 (多庄家)
共4家庄家: Bet365, Betfair, 易胜博, 威廉希尔
**Bet365 欧赔变化** (共116条记录)
  3.0 | 3.5 | 2.3 | 01-01 22:50(初盘)
  2.9 | 3.4 | 2.35 | 01-02 20:53
  3.0 | 3.5 | 2.3 | 01-02 21:18
  2.9 | 3.4 | 2.35 | 01-02 21:29
  3.0 | 3.4 | 2.25 | 01-04 01:30
  3.1 | 3.4 | 2.2 | 01-04 03:07
  2.9 | 3.4 | 2.35 | 01-04 03:31
  3.1 | 3.4 | 2.2 | 01-04 03:38
  3.0 | 3.4 | 2.25 | 01-04 04:18
  3.1 | 3.4 | 2.2 | 01-04 06:14
  3.0 | 3.4 | 2.25 | 01-05 01:04
  3.1 | 3.4 | 2.2 | 01-05 01:44
  3.0 | 3.4 | 2.25 | 01-05 03:16
  3.1 | 3.4 | 2.3 | 01-05 08:00
  3.0 | 3.4 | 2.35 | 01-05 08:24
  3.1 | 3.4 | 2.3 | 01-05 08:59
  3.2 | 3.4 | 2.25 | 01-05 19:25
  3.1 | 3.4 | 2.3 | 01-05 19:32
  3.2 | 3.4 | 2.25 | 01-05 19:35
  3.1 | 3.4 | 2.3 | 01-06 12:46
  3.2 | 3.4 | 2.25 | 01-06 12:47
  3.1 | 3.4 | 2.3 | 01-06 12:47
  3.2 | 3.4 | 2.25 | 01-06 12:57
  3.1 | 3.4 | 2.3 | 01-06 12:59
  3.2 | 3.4 | 2.25 | 01-06 13:17
  3.1 | 3.4 | 2.3 | 01-06 13:18
  3.2 | 3.4 | 2.25 | 01-06 13:37
  3.1 | 3.4 | 2.3 | 01-06 13:38
  3.2 | 3.4 | 2.25 | 01-06 13:57
  3.1 | 3.4 | 2.3 | 01-06 13:57
  3.2 | 3.4 | 2.25 | 01-06 14:09
  3.1 | 3.4 | 2.3 | 01-06 15:04
  3.2 | 3.4 | 2.25 | 01-06 17:19
  3.1 | 3.4 | 2.3 | 01-06 17:39
  2.88 | 3.25 | 2.2 | 01-06 17:54
  3.2 | 3.4 | 2.25 | 01-06 17:59
  2.88 | 3.25 | 2.2 | 01-06 17:59
  3.1 | 3.4 | 2.3 | 01-06 18:19
  2.88 | 3.25 | 2.2 | 01-06 18:20
  3.1 | 3.4 | 2.3 | 01-06 18:39
  2.88 | 3.25 | 2.2 | 01-06 18:39
  3.1 | 3.4 | 2.3 | 01-06 19:00
  2.88 | 3.25 | 2.2 | 01-06 19:00
  3.1 | 3.4 | 2.3 | 01-06 19:20
  2.88 | 3.25 | 2.2 | 01-06 19:20
  3.1 | 3.4 | 2.3 | 01-06 19:40
  2.88 | 3.25 | 2.2 | 01-06 19:40
  3.1 | 3.4 | 2.25 | 01-06 20:30
  2.88 | 3.25 | 2.2 | 01-06 20:40
  3.1 | 3.4 | 2.25 | 01-06 20:40
  2.88 | 3.25 | 2.2 | 01-06 21:00
  3.1 | 3.4 | 2.25 | 01-06 21:06
  2.88 | 3.25 | 2.2 | 01-06 21:20
  3.1 | 3.4 | 2.25 | 01-06 21:20
  2.88 | 3.25 | 2.2 | 01-06 21:39
  3.1 | 3.4 | 2.25 | 01-06 21:39
  2.88 | 3.25 | 2.2 | 01-06 21:56
  3.1 | 3.4 | 2.25 | 01-06 22:06
  2.88 | 3.25 | 2.2 | 01-06 22:07
  3.1 | 3.4 | 2.25 | 01-06 22:14
  2.88 | 3.25 | 2.2 | 01-06 22:15
  3.1 | 3.4 | 2.25 | 01-06 23:00
  3.0 | 3.4 | 2.3 | 01-06 23:26
  3.1 | 3.4 | 2.25 | 01-06 23:27
  3.0 | 3.4 | 2.3 | 01-06 23:44
  3.1 | 3.4 | 2.25 | 01-06 23:44
  3.0 | 3.4 | 2.3 | 01-06 23:47
  3.1 | 3.4 | 2.25 | 01-06 23:47
  3.0 | 3.4 | 2.3 | 01-06 23:56
  3.1 | 3.4 | 2.25 | 01-06 23:57
  3.0 | 3.4 | 2.3 | 01-07 00:32
  3.1 | 3.4 | 2.25 | 01-07 00:51
  3.0 | 3.4 | 2.3 | 01-07 00:52
  3.1 | 3.4 | 2.25 | 01-07 01:14
  3.0 | 3.4 | 2.3 | 01-07 01:14
  3.1 | 3.4 | 2.25 | 01-07 01:37
  3.0 | 3.4 | 2.3 | 01-07 01:37
  3.1 | 3.4 | 2.25 | 01-07 01:59
  3.0 | 3.4 | 2.3 | 01-07 01:59
  2.9 | 3.4 | 2.4 | 01-07 02:18
  3.0 | 3.4 | 2.3 | 01-07 02:18
  2.9 | 3.4 | 2.4 | 01-07 02:19
  2.8 | 3.4 | 2.4 | 01-07 02:19
  3.0 | 3.4 | 2.3 | 01-07 02:22
  2.8 | 3.4 | 2.4 | 01-07 02:22
  2.8 | 3.4 | 2.45 | 01-07 02:24
  3.0 | 3.4 | 2.3 | 01-07 02:44
  2.8 | 3.4 | 2.45 | 01-07 02:44
  2.8 | 3.4 | 2.4 | 01-07 02:48
  2.8 | 3.5 | 2.4 | 01-07 02:51
  2.88 | 3.4 | 2.4 | 01-07 02:52
  2.88 | 3.5 | 2.4 | 01-07 02:58
  2.88 | 3.4 | 2.4 | 01-07 02:59
  2.88 | 3.5 | 2.38 | 01-07 03:05
  2.88 | 3.4 | 2.4 | 01-07 03:06
  2.88 | 3.5 | 2.38 | 01-07 03:06
  2.8 | 3.5 | 2.4 | 01-07 03:06
  3.0 | 3.4 | 2.3 | 01-07 03:07
  2.8 | 3.5 | 2.4 | 01-07 03:07
  2.88 | 3.5 | 2.38 | 01-07 03:09
  2.9 | 3.5 | 2.35 | 01-07 03:09
  2.88 | 3.4 | 2.4 | 01-07 03:10
  2.9 | 3.5 | 2.35 | 01-07 03:10
  2.88 | 3.4 | 2.4 | 01-07 03:11
  2.9 | 3.4 | 2.35 | 01-07 03:12
  2.88 | 3.4 | 2.4 | 01-07 03:12
  2.9 | 3.4 | 2.35 | 01-07 03:12
  2.8 | 3.4 | 2.4 | 01-07 03:30
  3.0 | 3.4 | 2.3 | 01-07 03:30
  2.8 | 3.4 | 2.4 | 01-07 03:30
  2.88 | 3.4 | 2.4 | 01-07 03:44
  2.9 | 3.5 | 2.35 | 01-07 03:45
  3.0 | 3.5 | 2.3 | 01-07 03:49
  2.9 | 3.5 | 2.3 | 01-07 03:49
  3.0 | 3.5 | 2.3 | 01-07 03:54
  2.9 | 3.5 | 2.35 | 01-07 03:56
**Betfair 欧赔变化** (共88条记录)
  2.96 | 3.45 | 2.32 | 01-01 21:01(初盘)
  2.96 | 3.4 | 2.32 | 01-01 23:29
  2.82 | 3.4 | 2.44 | 01-02 04:34
  2.84 | 3.4 | 2.46 | 01-02 05:24
  2.8 | 3.4 | 2.46 | 01-02 06:14
  2.9 | 3.45 | 2.4 | 01-02 07:05
  2.9 | 3.5 | 2.42 | 01-02 07:56
  2.98 | 3.55 | 2.44 | 01-02 15:20
  2.9 | 3.55 | 2.44 | 01-02 18:36
  2.9 | 3.55 | 2.42 | 01-02 21:53
  3.0 | 3.55 | 2.42 | 01-02 22:44
  2.9 | 3.55 | 2.42 | 01-02 23:34
  2.9 | 3.55 | 2.44 | 01-03 01:09
  3.1 | 3.55 | 2.44 | 01-03 05:23
  2.94 | 3.55 | 2.44 | 01-03 06:14
  2.96 | 3.55 | 2.44 | 01-03 07:05
  3.0 | 3.55 | 2.44 | 01-03 07:55
  3.05 | 3.55 | 2.44 | 01-03 08:47
  3.05 | 3.55 | 2.48 | 01-03 20:48
  2.88 | 3.55 | 2.46 | 01-03 21:40
  2.98 | 3.55 | 2.5 | 01-03 22:33
  2.98 | 3.55 | 2.46 | 01-04 00:17
  3.15 | 3.55 | 2.2 | 01-04 01:16
  3.25 | 3.55 | 2.28 | 01-04 02:17
  3.25 | 3.55 | 2.32 | 01-04 04:28
  3.25 | 3.55 | 2.36 | 01-04 05:34
  3.3 | 3.5 | 2.38 | 01-04 06:39
  3.25 | 3.5 | 2.38 | 01-04 08:49
  3.3 | 3.5 | 2.38 | 01-04 14:21
  3.2 | 3.5 | 2.4 | 01-04 23:55
  3.25 | 3.5 | 2.4 | 01-05 00:15
  3.2 | 3.5 | 2.4 | 01-05 00:27
  3.25 | 3.5 | 2.4 | 01-05 00:51
  3.25 | 3.5 | 2.42 | 01-05 03:45
  3.2 | 3.5 | 2.42 | 01-05 04:09
  3.25 | 3.5 | 2.4 | 01-05 04:39
  3.3 | 3.5 | 2.4 | 01-05 13:56
  3.3 | 3.5 | 2.38 | 01-05 19:38
  3.35 | 3.5 | 2.36 | 01-05 19:46
  3.35 | 3.5 | 2.38 | 01-05 20:00
  3.35 | 3.5 | 2.36 | 01-05 21:02
  3.35 | 3.5 | 2.38 | 01-05 21:26
  3.3 | 3.5 | 2.38 | 01-05 22:13
  3.35 | 3.5 | 2.36 | 01-06 01:50
  3.35 | 3.55 | 2.36 | 01-06 02:28
  3.3 | 3.55 | 2.36 | 01-06 02:40
  3.35 | 3.55 | 2.36 | 01-06 02:53
  3.3 | 3.55 | 2.34 | 01-06 04:14
  3.3 | 3.55 | 2.36 | 01-06 04:36
  3.3 | 3.55 | 2.38 | 01-06 07:43
  3.3 | 3.55 | 2.36 | 01-06 08:27
  3.3 | 3.55 | 2.38 | 01-06 08:56
  3.35 | 3.55 | 2.38 | 01-06 10:13
  3.25 | 3.55 | 2.38 | 01-06 12:25
  3.25 | 3.55 | 2.4 | 01-06 12:37
  3.3 | 3.55 | 2.38 | 01-06 13:00
  3.3 | 3.5 | 2.38 | 01-06 15:25
  3.3 | 3.5 | 2.4 | 01-06 15:37
  3.3 | 3.45 | 2.4 | 01-06 15:49
  3.35 | 3.45 | 2.4 | 01-06 16:01
  3.35 | 3.45 | 2.42 | 01-06 17:00
  3.3 | 3.45 | 2.42 | 01-06 17:23
  3.3 | 3.5 | 2.42 | 01-06 17:57
  3.25 | 3.5 | 2.4 | 01-06 18:09
  3.25 | 3.5 | 2.42 | 01-06 18:32
  3.25 | 3.5 | 2.4 | 01-06 18:44
  3.3 | 3.5 | 2.4 | 01-06 18:55
  3.3 | 3.5 | 2.42 | 01-06 19:42
  3.25 | 3.5 | 2.42 | 01-06 20:06
  3.25 | 3.5 | 2.4 | 01-06 20:18
  3.3 | 3.5 | 2.42 | 01-06 21:07
  3.25 | 3.5 | 2.42 | 01-06 21:19
  3.2 | 3.5 | 2.42 | 01-06 23:58
  3.2 | 3.5 | 2.46 | 01-07 00:08
  3.1 | 3.45 | 2.52 | 01-07 00:22
  3.15 | 3.45 | 2.5 | 01-07 00:36
  3.15 | 3.45 | 2.48 | 01-07 00:51
  3.15 | 3.45 | 2.5 | 01-07 01:05
  3.15 | 3.45 | 2.48 | 01-07 01:32
  3.15 | 3.45 | 2.5 | 01-07 01:46
  3.1 | 3.45 | 2.56 | 01-07 02:27
  3.1 | 3.45 | 2.54 | 01-07 02:40
  3.1 | 3.5 | 2.5 | 01-07 02:53
  3.1 | 3.55 | 2.5 | 01-07 03:06
  3.1 | 3.55 | 2.48 | 01-07 03:20
  3.05 | 3.55 | 2.5 | 01-07 03:33
  3.05 | 3.55 | 2.52 | 01-07 03:46
  3.1 | 3.6 | 2.48 | 01-07 03:58
**易胜博 欧赔变化** (共43条记录)
  3.2 | 3.5 | 2.26 | 01-05 16:16(初盘)
  3.2 | 3.5 | 2.25 | 01-05 19:12
  3.1 | 3.5 | 2.3 | 01-06 12:50
  3.3 | 3.4 | 2.28 | 01-06 14:02
  3.2 | 3.4 | 2.25 | 01-06 14:12
  3.1 | 3.4 | 2.3 | 01-06 15:08
  3.1 | 3.4 | 2.29 | 01-06 17:08
  2.9 | 3.3 | 2.2 | 01-06 17:56
  3.2 | 3.3 | 2.2 | 01-06 17:58
  3.2 | 3.3 | 2.31 | 01-06 20:00
  3.2 | 3.3 | 2.29 | 01-06 20:23
  3.1 | 3.4 | 2.25 | 01-06 20:37
  3.2 | 3.4 | 2.31 | 01-06 23:03
  3.0 | 3.4 | 2.3 | 01-06 23:09
  3.0 | 3.4 | 2.33 | 01-06 23:18
  3.1 | 3.4 | 2.36 | 01-07 00:04
  3.0 | 3.4 | 2.43 | 01-07 00:18
  3.1 | 3.4 | 2.4 | 01-07 00:19
  3.1 | 3.3 | 2.4 | 01-07 00:28
  3.1 | 3.4 | 2.38 | 01-07 01:03
  3.1 | 3.4 | 2.4 | 01-07 01:49
  2.8 | 3.4 | 2.4 | 01-07 02:19
  3.0 | 3.3 | 2.47 | 01-07 02:23
  3.0 | 3.4 | 2.47 | 01-07 02:27
  3.0 | 3.4 | 2.45 | 01-07 02:29
  3.0 | 3.4 | 2.4 | 01-07 02:50
  3.0 | 3.4 | 2.43 | 01-07 02:51
  3.0 | 3.5 | 2.43 | 01-07 02:52
  2.9 | 3.4 | 2.43 | 01-07 02:53
  2.9 | 3.4 | 2.4 | 01-07 02:58
  2.8 | 3.5 | 2.4 | 01-07 03:08
  2.9 | 3.5 | 2.35 | 01-07 03:10
  2.9 | 3.4 | 2.4 | 01-07 03:12
